703615.310486,5224992.480205,-26557.347641
712149.122986,5226359.167705,-25415.29393
714885.857361,5226797.417705,-25049.044541
722580.122986,5228029.667705,-24220.075668
729297.388611,5229105.417705,-23496.367546
731733.576111,5229495.542705,-23233.896118
733242.326111,5229737.167705,-23136.365738
740157.435486,5230844.605205,-22689.351608
744083.466736,5231473.355205,-22689.351608
753235.247986,5233099.605205,-22689.351608
754123.912048,5233257.542705,-22689.351608
755895.662048,5233572.355205,-22689.351608
761986.529236,5234654.667705,-22733.857224
780737.068298,5237986.636455,-22870.86644
791850.568298,5239961.480205,-23044.521774
792353.560486,5240050.855205,-23052.381272
808437.919861,5242909.011455,-24141.470322
820414.224548,5245037.198955,-24019.831162
826309.439392,5246084.761455,-23959.95549
827568.369079,5246308.448955,-23931.853256
842572.517517,5248974.667705,-23596.925812
849407.357361,5250189.198955,-23526.089981
860086.603454,5252086.886455,-23415.410967
875277.393005,5254786.261455,-23233.896118
891046.5849,5257588.417705,-23233.896118
899940.085876,5259168.792705,-23233.896118
922994.341736,5263265.480205,-23233.896118
941580.716736,5266568.230205,-23233.896118
967923.130798,5271249.230205,-23404.310667
969638.997986,5271554.136455,-23415.410967
983693.497986,5274051.605205,-23682.491196
989637.099548,5275107.761455,-23496.74614
991825.833923,5275496.698955,-23390.888027
718333.810486,5342708.198955,-30774.584213
725074.013611,5342539.073955,-27464.0327
728350.904236,5342456.855205,-25854.544907
729449.482361,5342429.323955,-25457.057602
730182.435486,5342410.917705,-25191.865463
739394.372986,5342179.792705,-21858.842392
752627.662048,5341847.792705,-16948.171616
753962.341736,5341814.323955,-16452.892319
763166.771423,5341583.386455,-13719.467514
769000.255798,5341437.042705,-11987.107163
793436.865173,5340823.948955,-9401.653061
803973.294861,5340559.605205,-8639.742905
808309.412048,5340450.823955,-8326.19017
812939.154236,5340334.667705,-7991.405014
835730.994079,5339762.855205,-6816.197983
848345.671814,5339446.355205,-6816.197983
853588.513611,5339314.823955,-6816.197983
